english_text,french_translation
MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL,"""MISTER QUILTER est l'Apostle des classes moyennes et nous sommes ravis d'accueillir sa guerre."""
NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER,"Voici la traduction en français :

""LE MOTIF DE M. QUILTER N'EST PAS PLUS INTRIGANT QUE SON EXPERTISE"""
HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND,"Il informe que pendant cette saison festive de l'année, avec Noël et porc à rôtir à portée de main, les similitudes tirées de l'alimentation et de ses résultats subissent un usage particulièrement fréquent dans le cerveau."
HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA,Il a des doutes graves quant au resale de sir Frederick Leighton et il découvre dans son travail avec peu de roche d'Ithaque.
LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN,"LES PORTRAITS DE LINNELL SONT UN TYPE DE FRONTONS ET QUI AVEC EN PAISTELLES MASON, HORS DE LA GRANDE ART ETAIS COESTRE, SUBLIMENTE LA SOCIALISTE ÉTÉTAT ENTRELACES QU'EXUYE OK UP IN THE QUESTION LA MARCHÉDAME"
IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION,C'est évidemment퀼t d'indiquer comment ridicule ces critiques.
ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY,"Sur les principes généraux de l'art, Mister Quilleter écrit avec une lucidité égale."
PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT,"Le NOUVEAU出品"">', 'faÿsson}', 'Choix', 'artedis']"
AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN,"COMME DES ETCHINGS, ELLES SONT DEUX CÔTES : BRITANNIQUES OU ÉTRANGERS."
HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER,HE LAMENTS LE MIDI LEURS HERITAGE LA PENDULE QUI FAIT FLEURIR LA DECORACIÓN DES ARTS ET LEURPUBÂTULE QUI L'A INVENTÉ À LA NOOS PRS Дosto здесь и ниже правильно. Cette traduction est une traduction correcte du texte en anglais à la fois suivant
NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD,"Voici la traduction en français :

À côté du feu et des ornements que Fred a apportés de l'Inde sur la table de chevet."
IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING,"D'ailleurs, il est assez sévère avec M. Ruskin pour ne pas reconnaître que une photographie doit symboliser la fragilité de l'homme, ainsi qu'un commentaire de courtoisie touchant et d'élégance approbatrice des diverses émotions北： En réalité, il est d'un comport"
ONLY UNFORTUNATELY HIS OWN WORK NEVER DOES GET GOOD,JUST EGALEMENT INCONCEROUS SON empresa WORK NE PASSE DOUJANCE
MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING,MISTER QUILTER AVEUGLE SON CHAUFFEUR BESOIN D'AVOIR MAKE SOULIGNER SES CHAMPIONNE PRISE DE PAIRED M. QUILTER.
BY HARRY QUILTER M A,À Harry Quilter M.
BECAUSE YOU WERE SLEEPING INSTEAD OF CONQUERING THE LOVELY ROSE PRINCESS HAS BECOME A FIDDLE WITHOUT A BOW WHILE POOR SHAGGY SITS THERE A COOING DOVE,"Parce qu'il dort au lieu de conquérir la belle Reine des roses splendide, cette belle Reine de rose a perdu son charme et sa grâce, et Elle est devenue sans beauté et sans douceur, alors que pauvre Shaggy, couché là, apprete croissants de poule."
HE HAS GONE AND GONE FOR GOOD ANSWERED POLYCHROME WHO HAD MANAGED TO SQUEEZE INTO THE ROOM BESIDE THE DRAGON AND HAD WITNESSED THE OCCURRENCES WITH MUCH INTEREST,IL EST PARTI ET S'EN EST ALLÉ A HONNEUR.
I HAVE REMAINED A PRISONER ONLY BECAUSE I WISHED TO BE ONE AND WITH THIS HE STEPPED FORWARD AND BURST THE STOUT CHAINS AS EASILY AS IF THEY HAD BEEN THREADS,"J'ai été prié de rester prisonnier, seulement à cause de mon désir, et ce drapeau se déroba à mon regard avec subtilité comme s'il aurait utilisé les fils lumineux."
THE LITTLE GIRL HAD BEEN ASLEEP BUT SHE HEARD THE RAPS AND OPENED THE DOOR,La petite fille avait somnolé mais elle entendit les rapaces et sortitage自贸cesdis
THE KING HAS FLED IN DISGRACE AND YOUR FRIENDS ARE ASKING FOR YOU,Le roi s'est réfugié de disgrace et vos amis s'informent à votre sujet.
I BEGGED RUGGEDO LONG AGO TO SEND HIM AWAY BUT HE WOULD NOT DO SO,Je l'ai impatiemment imploré longtemps de le faire sortir mais il n'y était pour rien.
I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO,"Je suis également invité.FullName to vous aider Votre frère de s'enfuir, mais il ne voulait pas le faire vật chủ."
HE EATS AND SLEEPS VERY STEADILY REPLIED THE NEW KING,"Le roi nouveau a répondu : IL ALLEMAND, ET ELLECHATOUDE VERS LA NUIT."
I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY,J'espère que lui ne travaille pas trop.
HE DOESN'T WORK AT ALL,Il ne travaille pratiquement pas.
IN FACT THERE IS NOTHING HE CAN DO IN THESE DOMINIONS AS WELL AS OUR NOMES WHOSE NUMBERS ARE SO GREAT THAT IT WORRIES US TO KEEP THEM ALL BUSY,"En effet, il n'y a rien que lui puisse faire dans ces domaines, ainsi que nos nomes dont les nombres sont si grands que cela nous préoccupe de les maintenir l'une après l'autre occupés."
NOT EXACTLY RETURNED KALIKO,NON TELÉCHARGÉ KALIKO
WHERE IS MY BROTHER NOW,"Où es-tu maintenant, mon frère ?"
INQUIRED SHAGGY IN THE METAL FOREST,Inquiétée Shaggy dans le forêt métallique
WHERE IS THAT,Où est cela?
THE METAL FOREST IS IN THE GREAT DOMED CAVERN THE LARGEST IN ALL OUR DOMINIONS REPLIED KALIKO,Le Forêt métallique se trouve dans la Génératrice dominante the plus grande de notre empire. avertit Kaliko
KALIKO HESITATED,KALIKO HESITAIT À FAIRE LA MAISON FRANÇAISE
HOWEVER IF WE LOOK SHARP WE MAY BE ABLE TO DISCOVER ONE OF THESE SECRET WAYS,"TROUVEZ-LE, ET VOISSEZ SI VOUS VOTRE MOTO MOYENT EN DESCENTE."
OH NO I'M QUITE SURE HE DIDN'T,DÉSHALOT	TABLEAU
THAT'S FUNNY REMARKED BETSY THOUGHTFULLY,"""CE ST GRAIN DE SAVOIR ! """
I DON'T BELIEVE ANN KNEW ANY MAGIC OR SHE'D HAVE WORKED IT BEFORE,Je ne croisทรườngD ANAME n'avait pas connu d'incipit ou m'avait pas utiliséavant
I DO NOT KNOW CONFESSED SHAGGY,Je ne sais pas confessé Shaggy
TRUE AGREED KALIKO,OUBLIEZ LA KALIKO
KALIKO WENT TO THE BIG GONG AND POUNDED ON IT JUST AS RUGGEDO USED TO DO BUT NO ONE ANSWERED THE SUMMONS,"KALIKO alla la grande cloche et a frappé dessus, comme RUGGEDO le faisait souvent, mais personne ne répondit aux appels."
HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD,"RENTRÉE AUX ROYAUX CAVERNE KALIKO, LE ROYAUME BRIDE, UN COEUR CARRÉ, EUNO MAITRE DE L'ESPRIT PÈRE DE TON MERCURE DA MURCHU, LA POLE-NIGHT-ESTRE
Cher David, je vous vois rarement"
A MAN SAID TO THE UNIVERSE SIR I EXIST,"Un homme a dit au univers : ""SIR, JE EXISTE."""
SWEAT COVERED BRION'S BODY TRICKLING INTO THE TIGHT LOINCLOTH THAT WAS THE ONLY GARMENT HE WORE,CorROUGHné de sang sur le corps de Brion se ruissant dans le linge propre rouge qui était la seule tenue qu'il portait.
