,emotion,confidence
0,sad,0.86558837
1,sad,0.9996588
2,sad,0.96327645
3,sad,0.9996326
4,sad,0.9964585
5,sad,0.7992239
6,fear,0.70506805
7,surprise,0.9953951
8,surprise,0.79962176
9,sad,0.9997286
10,sad,0.89392495
11,neutral,0.48173547
12,surprise,0.9164061
13,fear,0.55573136
14,sad,0.6041005
15,surprise,0.96643525
16,surprise,0.79753673
17,sad,0.98222524
18,sad,0.97559834
19,surprise,0.5777418
20,sad,0.5689936
21,sad,0.9932034
22,fear,0.9895919
23,happy,0.47840452
24,sad,0.86481977
25,surprise,0.9989944
26,sad,0.89746344
27,sad,0.8647295
28,surprise,0.99542195
29,sad,0.99437016
30,fear,0.50239986
31,fear,0.82082343
32,sad,0.3729569
33,sad,0.48124537
34,surprise,0.41297916
35,fear,0.7773379
36,surprise,0.5611509
37,sad,0.6548877
38,sad,0.8796119
39,sad,0.9050701
40,surprise,0.75948507
41,sad,0.9849412
42,sad,0.9448402
43,surprise,0.96131825
44,surprise,0.9788109
45,surprise,0.61414886
46,neutral,0.91254634
47,surprise,0.9342001
48,surprise,0.9999032
49,surprise,0.6037186
50,surprise,0.99337846
51,surprise,0.99990857
52,surprise,0.9936243
53,surprise,0.9945635
54,sad,0.70851445
55,surprise,0.9894549
56,angry,0.86531556
57,angry,0.8047019
58,angry,0.9187045
59,surprise,0.99749917
60,angry,0.90117574
61,angry,0.9982021
62,angry,0.99172276
63,surprise,0.60123116
64,happy,0.9998622
65,surprise,0.9662352
66,sad,0.47014078
67,fear,0.31814867
68,happy,0.33823034
69,surprise,0.61287737
70,sad,0.92105186
71,surprise,0.56689507
72,surprise,0.9959566
73,surprise,0.9716499
74,sad,0.47156376
75,sad,0.57680416
76,surprise,0.5750051
77,sad,0.5075409
78,neutral,0.81408256
79,angry,0.99989593
80,sad,0.71789825
81,fear,0.6196505
82,fear,0.46998063
83,angry,0.7104437
84,surprise,0.7661365
85,angry,0.711972
86,sad,0.63937473
87,sad,0.3640387
88,surprise,0.8112489
89,surprise,0.32935292
90,sad,0.6515272
91,sad,0.66192234
92,sad,0.5848722
93,sad,0.6932821
94,surprise,0.9975667
95,angry,0.98144513
